City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Dikson,RU,73.51,80.55,20.23,95,51,13.69,broken clouds
83,Bam,IR,29.11,58.36,55.2,31,0,7.52,clear sky
84,Elko,US,41.0,-115.5,70.0,18,0,14.0,clear sky
85,Mweka,CD,-4.85,21.57,68.63,98,100,1.28,overcast clouds
86,Chokurdakh,RU,70.63,147.92,31.77,99,100,9.31,overcast clouds
87,Thompson,CA,55.74,-97.86,30.2,74,75,10.29,broken clouds
88,Luena,AO,-11.78,19.92,63.34,92,3,3.47,clear sky
89,East London,ZA,-33.02,27.91,66.02,78,34,19.28,scattered clouds
90,Llanes,ES,43.42,-4.75,54.0,73,62,4.0,broken clouds
91,Longyearbyen,SJ,78.22,15.64,28.4,58,40,18.34,scattered clouds
92,Saint-Philippe,RE,-21.36,55.77,71.6,60,22,5.82,few clouds
93,Outlook,CA,51.5,-107.05,34.72,72,100,8.59,overcast clouds
94,Hluk,CZ,48.99,17.53,44.01,90,100,3.0,overcast clouds
95,Butaritari,KI,3.07,172.79,81.72,76,0,14.25,clear sky
96,Kamyshevatskaya,RU,46.41,37.96,63.54,81,0,2.89,clear sky
97,Vanavara,RU,60.34,102.28,25.0,96,100,8.79,overcast clouds
98,Marsh Harbour,BS,26.54,-77.06,81.18,77,100,11.21,overcast clouds
99,Muroto,JP,33.28,134.15,62.6,67,75,10.29,shower rain
100,Turochak,RU,52.26,87.12,35.49,85,56,2.93,broken clouds
101,Kansanshi,ZM,-12.1,26.43,62.73,70,0,4.74,clear sky
102,Beyneu,KZ,45.32,55.2,52.52,41,0,9.98,clear sky
103,Usinsk,RU,65.99,57.53,27.64,94,97,12.01,overcast clouds
104,Bubaque,GW,11.28,-15.83,82.56,85,100,10.29,overcast clouds
105,Cockburn Town,TC,21.46,-71.14,83.88,79,11,20.0,few clouds
106,Baglan,AF,36.13,68.71,47.88,53,0,2.95,clear sky
107,Hasaki,JP,35.73,140.83,54.0,93,75,11.41,light rain
108,Torbay,CA,47.67,-52.73,46.4,100,90,2.24,fog
109,Kahului,US,20.89,-156.47,91.4,49,20,10.29,few clouds
110,Bethel,US,41.37,-73.41,48.2,93,90,5.82,overcast clouds
111,Maragogi,BR,-9.01,-35.22,75.16,86,39,9.06,scattered clouds
112,Hambantota,LK,6.12,81.12,78.17,79,38,17.45,scattered clouds
113,Abu Kamal,SY,34.45,40.92,64.49,40,0,3.94,clear sky
114,Pascagoula,US,30.37,-88.56,66.2,59,90,13.87,overcast clouds
115,Saldanha,ZA,-33.01,17.94,59.0,87,0,8.05,clear sky
116,Nhulunbuy,AU,-12.23,136.77,84.2,62,75,11.41,broken clouds
117,Sulangan,PH,11.14,123.72,83.37,74,99,6.15,overcast clouds
118,Broome,US,42.25,-75.83,42.01,80,20,4.7,few clouds
119,Natal,BR,-5.79,-35.21,77.0,83,20,9.17,few clouds
120,Jumla,NP,29.27,82.18,49.93,48,55,4.52,broken clouds
121,Hualmay,PE,-11.1,-77.61,63.91,81,28,7.29,scattered clouds
122,Padang,ID,-0.95,100.35,78.69,71,100,2.82,light rain
123,Buraydah,SA,26.33,43.98,66.2,37,0,3.36,clear sky
124,Manaure,CO,11.78,-72.44,84.97,72,1,12.82,clear sky
125,College,US,64.86,-147.8,21.2,48,1,6.93,clear sky
126,Ostrovnoy,RU,68.05,39.51,32.25,92,84,11.63,broken clouds
127,Jalu,LY,29.03,21.55,79.81,26,3,14.83,clear sky
128,Ekibastuz,KZ,51.67,75.37,49.6,48,84,13.94,broken clouds
129,Ossora,RU,59.24,163.07,40.01,66,25,9.86,scattered clouds
130,Murud,IN,18.33,72.97,75.94,87,9,9.95,clear sky
131,Victoria,HK,22.29,114.16,77.0,74,66,1.01,broken clouds
132,San Jeronimo,PE,-11.95,-75.28,52.86,62,66,3.96,light rain
133,Yellowknife,CA,62.46,-114.35,26.6,86,90,14.99,light shower snow
134,Bandarbeyla,SO,9.49,50.81,79.7,78,4,11.99,light rain
135,Rawson,AR,-43.3,-65.1,72.09,40,1,17.43,clear sky
136,Khatanga,RU,71.97,102.5,-2.29,89,0,3.44,clear sky
137,Pietersburg,ZA,-23.9,29.47,60.8,82,0,6.93,clear sky
138,Aswan,EG,24.09,32.91,80.83,28,0,8.61,clear sky
139,Waipawa,NZ,-41.41,175.52,51.8,87,100,20.8,overcast clouds
140,Kibre Mengist,ET,5.88,38.98,56.97,96,49,1.81,light rain
141,Luderitz,NA,-26.65,15.16,67.78,42,0,11.92,clear sky
142,Tasiilaq,GL,65.61,-37.64,37.4,64,48,29.97,scattered clouds
143,Laguna,US,38.42,-121.42,95.0,9,1,5.82,clear sky
144,Oum Hadjer,TD,13.3,19.7,84.76,25,8,3.42,clear sky
145,Shelburne,CA,44.08,-80.2,39.99,64,20,3.36,few clouds
146,Santa Rosa,PH,14.31,121.11,81.0,83,75,2.24,moderate rain
147,Wesselsbron,ZA,-27.85,26.37,62.01,61,0,1.01,clear sky
148,Cabo San Lucas,MX,22.89,-109.91,88.0,58,5,8.05,clear sky
149,Hokitika,NZ,-42.72,170.97,55.47,75,95,7.47,overcast clouds
150,Coihaique,CL,-45.58,-72.07,59.0,54,20,8.05,few clouds
151,Pogranichnyy,RU,44.41,131.38,42.15,65,0,4.59,clear sky
152,Isagarh,IN,24.83,77.88,74.66,67,7,5.75,clear sky
153,Codrington,AU,-38.27,141.97,56.34,88,98,14.52,overcast clouds
154,Bengkulu,ID,-3.8,102.27,76.12,85,65,3.11,broken clouds
155,Khetia,IN,21.67,74.58,78.42,81,100,3.65,overcast clouds
156,Pedasi,PA,7.53,-80.03,80.46,83,68,9.22,light rain
157,Tiksi,RU,71.69,128.87,24.33,98,100,9.13,light snow
158,Chuy,UY,-33.7,-53.46,57.31,92,4,10.92,clear sky
159,Malayal,PH,7.21,121.94,77.0,94,75,2.24,broken clouds
160,Tuatapere,NZ,-46.13,167.68,54.0,61,50,7.0,scattered clouds
161,Demba,CD,-5.51,22.27,69.06,99,99,1.1,overcast clouds
162,Castro,BR,-24.79,-50.01,54.61,89,32,8.88,scattered clouds
163,Mugur-Aksy,RU,50.35,90.5,21.02,82,0,5.95,clear sky
164,Bambous Virieux,MU,-20.34,57.76,68.0,100,20,5.82,few clouds
165,Tafresh,IR,34.69,50.01,42.87,50,0,1.97,clear sky
166,Verkhnevilyuysk,RU,63.45,120.32,17.64,93,2,9.46,clear sky
167,Peleduy,RU,59.63,112.74,25.74,95,100,9.91,light snow
168,Voyvozh,RU,62.89,54.96,29.26,98,100,7.74,overcast clouds
169,Faanui,PF,-16.48,-151.75,79.36,78,38,11.39,light rain
170,Akureyri,IS,65.68,-18.09,41.0,93,90,6.93,overcast clouds
171,Saint Anthony,US,45.02,-93.22,42.8,33,1,9.17,clear sky
172,Kavaratti,IN,10.57,72.64,81.37,76,27,16.49,light rain
173,Erdenet,MN,49.03,104.08,27.97,97,9,4.03,clear sky
174,Dyurtyuli,RU,55.49,54.87,49.75,88,100,14.32,light rain
175,Touros,BR,-5.2,-35.46,77.0,83,20,9.17,few clouds
176,Maceio,BR,-9.67,-35.74,73.4,88,29,6.93,scattered clouds
177,Necochea,AR,-38.55,-58.74,60.01,87,0,1.99,clear sky
178,Sangar,RU,63.92,127.47,19.18,96,100,3.31,light snow
179,Sena Madureira,BR,-9.07,-68.66,79.07,68,67,3.56,broken clouds
180,Grand Gaube,MU,-20.01,57.66,68.0,100,20,5.82,few clouds
181,Anloga,GH,5.79,0.9,77.0,83,20,3.36,few clouds
182,Babu,CN,24.42,111.52,62.69,78,47,6.96,scattered clouds
183,Milkovo,RU,54.72,158.62,41.27,63,48,13.76,scattered clouds
184,Owando,CG,-0.48,15.9,70.65,97,100,1.59,overcast clouds
185,Tiarei,PF,-17.53,-149.33,73.4,94,90,13.87,light rain
186,Yulara,AU,-25.24,130.99,80.6,34,0,16.11,clear sky
187,Leningradskiy,RU,69.38,178.42,35.51,86,75,3.53,broken clouds
188,Zatoka,UA,46.07,30.47,62.6,100,75,9.46,fog
189,Beloha,MG,-25.17,45.05,65.5,81,75,11.9,broken clouds
190,Souillac,MU,-20.52,57.52,68.0,100,20,5.82,few clouds
191,Chapais,CA,49.78,-74.85,37.4,86,90,4.7,light rain
192,Sai Buri,TH,6.7,101.62,79.18,80,100,3.67,overcast clouds
193,Cherskiy,RU,68.75,161.3,28.09,95,94,4.74,overcast clouds
194,Luanda,AO,-8.84,13.23,77.0,83,75,8.05,broken clouds
195,Birjand,IR,32.87,59.22,39.2,25,0,9.17,clear sky
196,Luau,AO,-10.71,22.22,66.67,95,39,2.82,light rain
197,Hami,CN,42.8,93.45,43.32,50,2,9.8,clear sky
198,Alofi,NU,-19.06,-169.92,78.8,83,100,8.05,light rain
199,Lorengau,PG,-2.02,147.27,84.65,71,100,8.1,overcast clouds
200,Elban,RU,50.1,136.51,38.25,74,0,13.85,clear sky
201,Mwinilunga,ZM,-11.74,24.43,65.3,64,4,1.19,clear sky
202,Tingo Maria,PE,-9.29,-76.01,70.7,83,16,1.68,light rain
203,Saint-Joseph,RE,-21.37,55.62,71.6,60,32,5.82,scattered clouds
204,Katsuura,JP,35.13,140.3,55.4,93,75,14.99,moderate rain
205,Kampot,KH,10.62,104.18,80.6,83,40,9.17,scattered clouds
206,Boguchany,RU,58.38,97.45,28.27,94,100,8.41,overcast clouds
207,Sorong,ID,-0.88,131.25,77.76,88,100,6.89,light rain
208,Urusha,RU,54.05,122.9,25.5,84,65,12.3,broken clouds
209,Khingansk,RU,49.12,131.18,33.49,84,64,6.71,broken clouds
210,Kincardine,GB,56.07,-3.72,48.2,81,90,8.05,overcast clouds
211,Lebu,CL,-37.62,-73.65,51.26,95,5,2.57,clear sky
212,Qaqortoq,GL,60.72,-46.03,39.2,83,92,5.82,overcast clouds
213,Bontang,ID,0.13,117.5,80.42,81,99,2.35,overcast clouds
214,Havoysund,NO,71.0,24.66,32.0,82,75,18.34,broken clouds
215,Mahajanga,MG,-15.72,46.32,80.6,69,20,4.7,few clouds
216,Guerrero Negro,MX,27.98,-114.06,78.6,51,51,16.33,broken clouds
217,Vestmannaeyjar,IS,63.44,-20.27,44.89,72,8,8.16,clear sky
218,Fortuna,US,40.6,-124.16,70.0,59,1,10.29,clear sky
219,Sao Joao Da Barra,BR,-21.64,-41.05,70.48,79,100,8.16,overcast clouds
220,Kirakira,SB,-10.45,161.92,85.01,65,24,5.64,light rain
221,Talcahuano,CL,-36.72,-73.12,53.6,93,90,4.7,overcast clouds
222,San Patricio,US,28.02,-97.52,62.6,82,90,13.87,overcast clouds
223,Boshnyakovo,RU,49.63,142.17,44.22,61,21,20.2,few clouds
224,Paducah,US,37.08,-88.6,57.2,33,1,4.7,clear sky
225,Imeni Poliny Osipenko,RU,52.42,136.49,38.98,70,96,10.02,overcast clouds
226,Sola,VU,-13.88,167.55,79.36,83,2,15.3,clear sky
227,Toguchin,RU,55.24,84.39,44.56,75,37,16.58,scattered clouds
228,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,76.98,54,90,4.45,overcast clouds
229,Lompoc,US,34.64,-120.46,82.0,30,1,12.75,clear sky
230,North Bend,US,43.41,-124.22,75.0,77,1,23.04,clear sky
231,Saint George,US,37.1,-113.58,82.99,8,1,1.01,clear sky
232,Lazaro Cardenas,MX,17.96,-102.2,83.21,79,48,4.12,scattered clouds
233,San Vicente,AR,-26.62,-54.13,65.97,92,23,3.31,few clouds
234,Uglovskoye,RU,51.36,80.19,45.34,57,73,10.94,broken clouds
235,Lagoa,PT,39.05,-27.98,63.77,62,75,7.85,broken clouds
236,Colon,PA,9.36,-79.9,82.4,88,20,6.93,few clouds
237,Martapura,ID,-3.42,114.85,78.8,88,40,4.7,scattered clouds
238,Pevek,RU,69.7,170.31,36.37,82,37,11.65,scattered clouds
239,Malanje,AO,-9.54,16.34,66.88,85,71,2.48,broken clouds
240,Aljezur,PT,37.32,-8.8,56.55,86,28,8.12,scattered clouds
241,Valparaiso,CL,-33.04,-71.63,55.4,93,90,4.7,mist
242,Catuday,PH,16.29,119.81,79.92,83,67,10.69,broken clouds
243,Kindu,CD,-2.95,25.95,69.44,97,100,0.81,light rain
244,Glendive,US,47.11,-104.71,39.99,80,90,9.17,light rain
245,Aklavik,CA,68.22,-135.01,23.0,49,20,10.29,few clouds
246,Harper,LR,4.38,-7.72,77.47,86,97,6.4,overcast clouds
247,Lavrentiya,RU,65.58,-171.0,39.63,93,100,24.2,light rain
248,Atar,MR,20.52,-13.05,88.25,25,1,7.58,clear sky
249,Wloclawek,PL,52.65,19.07,43.68,79,100,9.15,overcast clouds
250,Bakchar,RU,57.02,82.07,42.13,77,97,11.48,overcast clouds
251,Drumheller,CA,51.46,-112.71,32.0,51,100,13.82,overcast clouds
252,Boras,SE,57.72,12.94,34.0,100,0,5.82,clear sky
253,Chimoio,MZ,-19.12,33.48,62.6,93,0,5.82,clear sky
254,Ponta Do Sol,PT,32.67,-17.1,66.2,72,20,5.82,few clouds
255,Tofte,NO,59.54,10.56,43.0,93,0,1.12,clear sky
256,Bathsheba,BB,13.22,-59.52,80.6,78,20,11.41,shower rain
257,Minab,IR,27.15,57.08,68.0,22,0,6.93,clear sky
258,Launceston,AU,-41.45,147.17,46.0,93,90,17.22,moderate rain
259,Andilamena,MG,-17.02,48.58,58.01,96,24,3.18,few clouds
260,Kirkland Lake,CA,48.14,-80.04,37.4,69,20,6.93,few clouds
261,Boca Do Acre,BR,-8.75,-67.4,73.96,91,80,1.9,light rain
262,Rio Gallegos,AR,-51.62,-69.22,50.0,53,40,11.41,scattered clouds
263,Iqaluit,CA,63.75,-68.51,33.8,100,90,5.82,light rain
264,Narsaq,GL,60.92,-46.05,39.2,80,96,5.82,overcast clouds
265,Mayumba,GA,-3.43,10.66,76.44,85,89,5.06,overcast clouds
266,Lakes Entrance,AU,-37.88,147.98,64.0,87,100,1.01,light rain
267,Juneau,US,58.3,-134.42,44.6,45,90,10.29,overcast clouds
268,Klaksvik,FO,62.23,-6.59,44.6,81,92,10.29,overcast clouds
269,Kavieng,PG,-2.57,150.8,84.13,69,97,10.94,overcast clouds
270,Husavik,IS,66.04,-17.34,41.0,93,90,6.93,overcast clouds
271,Isangel,VU,-19.55,169.27,82.4,69,20,9.17,few clouds
272,Mitsamiouli,KM,-11.38,43.28,77.54,73,6,2.42,clear sky
273,Tornio,FI,65.85,24.15,35.6,93,100,2.24,overcast clouds
274,Los Llanos De Aridane,ES,28.66,-17.92,69.8,77,90,6.93,light rain
275,Antofagasta,CL,-23.65,-70.4,59.0,82,75,13.87,broken clouds
276,Navalmoral De La Mata,ES,39.89,-5.54,46.99,66,5,1.79,clear sky
277,Phan Thiet,VN,10.93,108.1,76.26,90,100,8.55,overcast clouds
278,Iwanai,JP,42.97,140.51,53.73,64,1,4.36,clear sky
279,Newton,US,42.34,-71.21,53.6,100,90,5.82,overcast clouds
280,Udachnyy,RU,66.42,112.4,8.6,92,0,4.47,clear sky
281,Immokalee,US,26.42,-81.42,75.2,94,100,7.29,overcast clouds
